date,account,value
2024-09-01,/visa/credit_card,-700.00
2024-08-01,/visa/credit_card,-500.00
2024-07-01,/visa/credit_card,-2000.00
2024-06-01,/visa/credit_card,-800.00
2024-05-01,/visa/credit_card,-600.00
2024-04-01,/visa/credit_card,-200.00
2024-03-01,/visa/credit_card,-400.00
2024-02-01,/visa/credit_card,-800.00
2024-01-01,/visa/credit_card,-200.00
2023-12-01,/visa/credit_card,-600.00
2023-11-01,/visa/credit_card,-600.00
2023-10-01,/visa/credit_card,-1000.00
2023-09-01,/visa/credit_card,-700.00
2024-09-01,/visa/credit_card,-500.00
2024-08-01,/visa/credit_card,-600.00
2024-07-01,/visa/credit_card,-400.00
2024-06-01,/visa/credit_card,-300.00
2024-05-01,/visa/credit_card,-2000.00
2024-04-01,/visa/credit_card,-200.00
2024-03-01,/visa/credit_card,-400.00
2024-02-01,/visa/credit_card,-1000.00
2024-01-01,/visa/credit_card,-600.00
2022-12-01,/visa/credit_card,-2000.00
2022-11-01,/visa/credit_card,-1000.00
2022-10-01,/visa/credit_card,-300.00
2022-09-01,/visa/credit_card,-500.00
