date,account,value
2025-03-01,/house/mortgage,-86000.0
2025-02-01,/house/mortgage,-87000.0
2025-01-01,/house/mortgage,-88000.0
2024-12-01,/house/mortgage,-89000.0
2024-11-01,/house/mortgage,-90000.0
2024-10-01,/house/mortgage,-91000.0
2024-09-01,/house/mortgage,-92000.0
2024-08-01,/house/mortgage,-93000.0
2024-07-01,/house/mortgage,-94000.0
2024-06-01,/house/mortgage,-95000.0
2024-05-01,/house/mortgage,-96000.0
2024-04-01,/house/mortgage,-97000.0
2024-03-01,/house/mortgage,-98000.0
2024-02-01,/house/mortgage,-99000.0
2024-01-01,/house/mortgage,-100000.0
